SF,Count
CH4,1
C10H10,2197
C10H12,5995
C10H14,9322
C10H16,8073
C10H18,3538
C10H20,852
C10H22,75
C10H8,516
C10H6,88
C10H4,16
C10H2,3
C10,1
C9H9N,3641
C8H8N2,5476
C9H11N,12798
C8H10N2,17981
C9H13N,27138
C8H12N2,34902
C7H9N3,17996
C7H7N3,6100
C7H11N3,33060
C9H15N,32732
C8H14N2,43497
C9H7N,835
C9H5N,108
C8H6N2,1094
C7H13N3,36180
C8H16N2,27335
C7H5N3,1115
C9H17N,18104
C7H15N3,20035
C8H4N2,126
C9H19N,5148
C8H18N2,8887
C7H17N3,5918
C8H2N2,12
C6H8N4,2678
C6H6N4,1772
C6H10N4,1765
C7H3N3,120
C6H4N4,478
C6H2N4,64
C9H21N,507
C9H3N,14
C9HN,1
C8H20N2,986
C7H19N3,596
C6H12N4,411
C7HN3,3
C5H7N5,31
C5H5N5,57
C5H3N5,38
C5HN5,8
C8N2,1
C9H10O,15483
C8H8O2,12616
C9H8O,3856
C7H6O3,4061
C9H12O,32078
C8H10O2,36297
C9H14O,34416
C8H12O2,48468
C7H8O3,15815
C9H6O,526
C9H4O,51
C7H10O3,25395
C8H14O2,29236
C9H16O,17458
C7H12O3,18080
C9H18O,4529
C8H6O2,2129
C8H16O2,8363
C7H14O3,5713
C8H4O2,138
C7H4O3,382
C9H20O,405
C8H18O2,838
C7H16O3,641
C9H2O,6
C9O,1
C7H2O3,11
C8H2O2,7
C7H7NO2,17193
C8H9NO,23209
C8H11NO,53378
C7H6N2O,7521
C7H8N2O,28386
C8H7NO,6244
C6H7N3O,23576
C6H6N2O2,16229
C6H5N3O,6534
C6H5NO3,4079
C7H9NO2,43301
C5H5N3O2,9142
C7H10N2O,60875
C6H9N3O,44930
C6H8N2O2,39486
C8H13NO,74247
C6H7NO3,14333
C7H11NO2,58027
C5H7N3O2,22754
C8H5NO,980
C7H12N2O,71514
C6H11N3O,48007
C6H10N2O2,48546
C8H15NO,48353
C7H13NO2,40011
C5H9N3O2,23851
C6H9NO3,21198
C7H4N2O,1091
C6H3N3O,790
C7H14N2O,43537
C7H5NO2,3571
C6H4N2O2,3226
C5H3N3O2,1489
C8H17NO,15534
C6H12N2O2,28376
C6H13N3O,25942
C6H11NO3,13848
C7H15NO2,13722
C7H16N2O,14178
C5H11N3O2,12139
C7H3NO2,252
C6H2N2O2,171
C5HN3O2,12
C8H3NO,65
C5H6N2O3,80
C5H6N4O,2139
C5H5NO4,24
C5H8N4O,1462
C4H6N4O2,93
C4H5N3O3,142
C4H4N4O2,58
C6H15N3O,6329
C6H14N2O2,7496
C6H13NO3,4043
C6H3NO3,440
C5H4N4O,1232
C4H4N2O4,70
C3H5N5O2,63
C3H4N4O3,121
C3H3N5O2,35
C5H2N4O,207
C8H19NO,1669
C7H18N2O,1572
C7H2N2O,53
C7H17NO2,1646
C5H13N3O2,2443
C5H10N4O,310
C6H17N3O,329
C6H16N2O2,522
C6H15NO3,404
C3H3N3O4,76
C5H15N3O2,13
C5H4N2O3,37
C6HN3O,14
C4H3N3O3,49
C3H2N4O3,40
C6HNO3,3
C8HNO,4
C7HNO2,6
C7N2O,2
C5H3NO4,14
C5H2N2O3,18
C4H2N2O4,32
C4H2N4O2,13
C4HN3O3,18
C3HN3O4,24
C3HN5O2,5
C3N4O3,6
C9H10S,343
C8H9NS,1361
C8H8OS,815
C7H8N2S,2642
C7H7NOS,2486
C6H7N3S,3044
C6H6N2OS,3564
C9H8S,187
C8H7NS,641
C7H6N2S,1032
C6H5N3S,1073
C5H5N3OS,2809
C7H6O2S,610
C6H5NO2S,1559
C9H12S,260
C8H11NS,1236
C7H10N2S,3282
C6H9N3S,4144
C8H10OS,808
C7H9NOS,2705
C6H8N2OS,5035
C5H7N3OS,4930
C6H8N2S2,29
C6H7NO2S,2672
C6H7NOS2,54
C8H5NS,179
C7H4N2S,276
C6H3N3S,243
C7H8O2S,1041
C8H6OS,267
C7H5NOS,819
C6H4N2OS,1073
C5H3N3OS,582
C8H6S2,9
C7H5NS2,28
C6H4N2S2,50
C8H4OS,29
C7H3NOS,102
C6H2N2OS,124
C5HN3OS,15
C8H4S2,7
C7H3NS2,23
C6H2N2S2,34
C7H10O2S,1028
C6H9NO2S,2651
C6H8O3S,1850
C5H6O4S,1141
C7H12O2S,611
C7H12N2S,2009
C6H11NO2S,1799
C6H10O3S,2122
C6H11N3S,3116
C6H10N2OS,3592
C5H8N2O2S,1898
C5H10N2O2S,2262
C5H7NO3S,2434
C5H9NO3S,3541
C5H8O4S,1943
C5H9N3OS,3585
C4H9N3O2S,1384
C4H8N2O3S,2667
C4H7N3O2S,1165
C4H6N2O3S,1691
C6H6O3S,519
C5H6N2O2S,694
C6H5NOS2,139
C5H5NO3S,758
C4H5N3O2S,474
C5H4O4S,211
C8H10ClN,257
C8H9ClO,130
C8H9ClS,72
C7H8OS2,20
C7H9ClN2,523
C7H8ClNO,684
C7H8ClNS,155
C7H14N2S,436
C7H14O2S,250
C6H13NO2S,830
C6H12O3S,1029
C6H13N3S,1075
C6H12N2OS,962
C5H12N2O2S,1290
C5H11NO3S,2131
C5H10O4S,1190
C5H11N3OS,1210
C4H11N3O2S,876
C4H10N2O3S,1862
C9H9Cl,34
C8H8ClN,255
C7H7ClN2,420
C7H6ClNO,502
C8H8S2,15
C7H7Cl2N,53
C7H6ClNS,130
C6H6ClN3,339
C6H8ClN3,479
C6H5ClN2O,542
C6H7ClN2O,831
C8H7ClO,132
C7H5ClO2,140
C7H7ClO2,220
C7H5ClOS,99
C6H6ClNO2,563
C6H6ClNOS,193
C8H7ClS,59
C7H7ClOS,160
C7H5ClS2,8
C6H5ClN2S,135
C7H7NS2,59
C7H6OS2,49
C6H6N2S2,129
C7H5Cl2N,30
C7H4Cl2O,22
C7H6Cl2O,35
C7H4Cl2S,7
C7H6Cl2S,7
C7H4O2S,109
C7H4OS2,11
C9H7Cl,20
C8H6ClN,104
C9H11Cl,22
C8H8Cl2,17
C8H13NS,444
C8H12OS,270
C7H11NOS,1145
C9H6S,47
C7H5Cl3,6
C7H5ClN2,155
C7H11ClN2,215
C7H10ClNO,287
C7H10ClNS,115
C7H9ClO2,90
C7H9ClOS,90
C6H6Cl2N2,45
C6H5Cl2NO,67
C6H9ClN2O,445
C6H8ClNO2,297
C6H7ClN2S,139
C5H5ClN2O2,9
C6H4ClN3,122
C5H6ClN3O,650
C5H4ClNO3,6
C5H4ClN3O,308
C5H4ClNO2S,9
C9H14S,72
C6H8O2S2,10
C7H9Cl2N,8
C6H8Cl2N2,18
C6H7Cl2NO,24
C5H7Cl2N3,6
C8H12ClN,59
C6H10ClN3,212
C5H8ClN3O,257
C5H6ClN3S,98
C5H8ClN3S,51
C5H8N4S,115
C5H4N2O2S,201
C4H4N2O3S,477
C6H9ClN2S,112
C6H8ClNOS,166
C6H4O3S,74
C5H3NO3S,129
C6H3NO2S,257
C6H3NOS2,20
C5H6N4S,303
C4H3N3O2S,109
C6H4ClNO2,217
C6H4ClNOS,110
C6H4ClNS2,18
C5H4ClN3S,90
C5H4N4S,210
C6H4Cl2N2,19
C4H4ClN3O2,12
C5H3ClN4,16
C4H3ClN2O3,17
C4H3ClN2O2S,9
C6H6O2S2,9
C6H7Cl2NS,8
C6H9NOS2,33
C8H11ClO,30
C8H11ClS,30
C6H10N2S2,10
C7H8Cl2O,3
C7H8Cl2S,3
C7H10OS2,7
C7H16N2S,66
C7H16O2S,33
C6H15NO2S,119
C6H14O3S,158
C6H15N3S,208
C6H14N2OS,178
C5H14N2O2S,233
C5H13NO3S,388
C5H12O4S,219
C5H2N4S,73
C5H13N3OS,277
C5H10N4S,32
C4H13N3O2S,181
C4H12N2O3S,413
C8H6Cl2,12
C6H5Cl2NS,5
C7H4ClNO,92
C6H3Cl2NO,24
C6H3Cl2NS,8
C6H3ClN2O,106
C8H4Cl2,8
C8H5ClO,38
C7H3ClO2,27
C8H5ClS,21
C7H4ClNS,34
C6H3ClN2S,24
C7H3Cl2N,8
C7H3ClOS,11
C6H2ClNO2,26
C5H2ClN3O,31
C5H2ClN3S,11
C6H2Cl2N2,5
C8H4ClN,6
C7H3ClN2,11
C6H2ClN3,5
C5H3Cl2N3,7
C8H3ClO,6
C7H2ClNO,12
C6H2ClNOS,8
C8H3ClS,6
C7H2ClNS,12
C5H5Cl2N3,19
C5H5ClN4,17
C6HClN2O,4
C6HClN2S,4
C3H4N4O2S,39
C3H3N3O3S,54
C5H6ClNO2S,3
C5H5ClO3S,2
C4H5ClN2O2S,5
C6H4Cl3N,6
C4H2N2O3S,56
C3H3ClN4O2,4
C3H2ClN3O3,6
C3H2ClN3O2S,2
C5H2N2O2S,24
C5H2O4S,9
